サークル,活動内容,活動日時・場所,所属人数,設立年,外国人学生の受け入れる状況,ラベル1,ラベル２
観世会,"週２回の自主稽古と月２回の師範稽古を中心に、稽古、研究、普及活動を行っています。
/
/月１回のペースで発表会がありますが、参加は自由。稽古のペースも自由です。早ければ半年で舞囃子、１年半で能の稽古を始められます。
/
/設立時から、研究誌「切戸口」を発行しており、OBには数多くの研究者、演劇関係者がいる他、当会出身の能楽師も活躍を続けています。
/
/１２の他大能楽サークルと舞台を共にしており、話し下手でも分かり合える仲間ができます。","月曜日　110板の間／木曜日　B107能舞台
/
/師範稽古　銕仙会能楽研修所（表参道）",22人,1946年,0人,学問,日本文化
金春会,"金春会では、能の「仕舞」と呼ばれる舞や、謡をお稽古しています！不定期でプロの先生にもご指導いただいています。/
/大学で能のお稽古ができるのは、とても珍しく、人生においてとても貴重な経験となること間違いなしです！/
/活動日は週3です！が、授業やバイトなどの都合によって空いている時間に活動することができますし、そもそも週3で来られる部員のほうが少ないです。（兼サーの部員も多数です！）/
/夏と春に合宿があり、毎年秋に、大隈講堂で定期公演や、能楽のワークショップなども行っているので、やりがいもありますし、大学生活の良い思い出となることでしょう！/
/普段は部員同士ご飯に行ったり、まったり過ごすことも多いですよ！/
//
/能ってなんだろう？やったことないけど大丈夫？と心配される方も多いですが、現在の部員は、全員が大学に入ってから、初めて能を実際にやってみた、という人たちしかいません！/
/日本の文化がギュギュっと凝縮された「能」に、あなたも触れてみませんか？/
/見学、入部は随時受け付けています。お気軽におたずねください！",火・水曜日 2〜3限、金曜日 6〜7限　早稲田大学 学生会館 地下一階B107(能舞台)にて,23人,1946年,0人,学問,日本文化
長唄研究会,"歌舞伎のBGMから生まれた「長唄」を毎週木曜日、吉住流の先生をお招きして練習しています。優しい先生の、丁寧なご指導のもと、楽しく伝統文化に触れることができます。
年2回の演奏会の他、春夏の合宿や他大学の長唄研究会との交流行事などイベントは盛り沢山！初心者・2年生以上の方も大歓迎です！少しでも長唄三味線に興味を持たれた方は、お気軽におこしください。会員一同、心よりお待ちしています！

A club to enjoy Nagauta ; Japanese traditional music performance

Nagauta is Japanese traditional music performance, originally played for Kabuki.
We plactice Nagauta together with a teacher from a Yoshizumi-ryu school on every Thursday evening.
You can make great experiences throughout many events including regular concert (twice a year), training camp in every summer and winter, and gathering of Nagauta club in other universities.
Come and be a member to enjoy singing and playing shamisen with us!",毎週木曜日/16時半〜21時頃まで/学生会館和室,約10人,1946年,0人,学問,日本文化
落語研究会,"こんにちは！ 早稲田大学落語研究会、通称ラッケンです。ラッケンは70年以上続くサークルで、「わせだ寄席」という大きな寄席の主催を、約90回も続けてきました！この「わせだ寄席」、名だたる大物落語家さんに多数出演いただいているだけに、落語好きの間では有名だとか……！ 現在は、落語の""鑑賞""と""実演""の二本柱で活動しています！鑑賞では、約2月に1度の「鑑賞会」と年1度の「わせだ寄席」で、プロの落語家さんをお呼びして間近で落語を観るという、落語を""深く楽しむ""活動をします。一方実演では、約2月に1度の「部員ライブ」で日頃の稽古の成果をお客さんの前で披露するという、""腕を磨く""活動をします。落語を見たい人も演じたい人も一緒になって、お互い刺激しあって落語を知っていきましょう！知識なんて、楽しめば自ずと付いていくもの。落語は大衆娯楽ですから難しく考えずに飛び込んでみよう！ 未経験者・知識がない人も、どんどんいらっしゃい！",毎週水曜日・土曜日/14時半/学生会館,46人,1948年,0人,学問,日本文化
下懸宝生会,ワキ方専門サークル「下懸宝生会」です！ワキ方とは、能におけるキャラクターの一つの専門職のことを指します。では、そのキャラクターとは一体何か。シテがあの世のものだとしたら、ワキはこの世のもの（人間）を演じています。そのため、ストーリーテラー的な役割を持っています。さて、そんなワキですが、大学のサークルとしてワキの稽古ができるのは日本中探しても「下懸宝生会」だけなのです。しかも、毎週プロの先生方から無料でお稽古をつけていただいております。いつものお稽古ですが、謡という能の合唱の部分を練習します。そして、能の舞台にワキとして実際に出演するためのお稽古もしています。お稽古は毎週月曜日18時から板の間110にて。いつでも見学・体験可能です！,毎週月曜日/18時/学生会館板の間110,20人,1948年,0人,学問,日本文化
狂言研究会,「狂言」は、600年以上の歴史を持つ日本の喜劇です。私たちはその狂言を習い、稽古し、年2回の自主公演ほか多くの舞台で発表しています。このサークルを作ったのはあの野村萬斎先生のお父さま・野村万作先生です。今も万作の会の先生方に稽古を付けていただき、活発な交流が続いています。狂言の笑いを楽しみ、それを学生の表現力で現代でも広めていくのも目標です。小規模ですが、インカレ、掛け持ちの学生がほとんどで、自由度が高いのも魅力です。早稲田内から全国までのさまざまな狂言・能楽サークルとの交流も盛んで、人のつながりが広がります。稽古は完全自由ですので、いつでもお気軽に遊びに来てください！,毎週火曜日・学生会館B107能舞台/毎週金曜日・学生会館110板の間/18時〜22時（自由参加）,約15人＊他大の狂言研員もたくさん参加します,1950年,2人,学問,日本文化
漫画研究会,"■主な活動：/
/合宿：春・夏の2回＋やる気が漲（みなぎ）ってる場合、冬もあり/
/機関誌：年に2回早稲田漫を制作・発行/
/他、時期ごとにイベントもりもり盛りだくさん。/
/■部費：永年無料！/
/●部費タダなんて、そんなウマい話があるわけないです。/
/→鋭いですな。半分当たってます。秋の早稲田祭で似顔絵を描きまくって部費を捻出しているのです。描き手も呼び込みも大変に疲れます。/
//
/●じゃあ似顔絵描けない人は役に立たないじゃないですか！/
/→当日は似顔絵を描けない人も全力で呼び込みに回ってもらうのでその心配はありませんです。",毎日/部室,150人,1955年,5人,学問,日本文化
稲吟会,こんにちは！稲吟会は伝統芸能サークルとして詩吟・剣舞・扇舞の練習・発表を行っています。詩吟って何？と思う人はインターネットで調べてみよう！初心者大歓迎！会員は皆大学に入るまで未経験でした。師範の先生や会員がやさしく教えます！刀や扇を振りたい方も大歓迎！殺陣もできちゃいます！また、稲吟会では早稲田的イベントをコンプリートできちゃいます！早慶レガッタ・百ハイ・早慶戦・早稲田祭etc.楽しいイベントがめじろ押しです！早稲田愛あふれる（自己申告）仲間たちと充実したキャンパスライフを送りましょう！もちろん年2回の合宿もあります！前回の夏合宿では青い空・澄んだ川・・・常夏の楽園”茨城”に行きました！稲吟会には、大学のサークルでは珍しく友好サークルが4つもあり、思惟の森の会・早慶戦支援会・鵬志会・早稲田精神昂揚会（全て公認サークル）の方々と交流しています。また、明治大学・慶應義塾大学をはじめ、他大学の詩吟サークルとも交流を行っています。さらに広々過ごせる部室を完備！あなたのキャンパスライフの拠点にどうぞ。最後に、ここまで読んでくださった皆さんにお得な情報です！入会してくれた新入生は飯が1年間タダです！先輩がおごります！みんな来てね!!!!,毎週金曜日4〜6限 / 学生会館,25人,1955年,1人,学問,日本文化
生花研究会,生花研究会では毎週火曜日に生花（池坊）のお稽古をしています。時間は17時から20時で、毎回池坊の先生をお呼びして教えていただいています。お稽古場所は学生会館の茶室で、畳の部屋で落ち着いた雰囲気の中お稽古をしています。サークルの人数も20人弱と比較的少人数なので、皆仲が良く、お稽古の際にはしっかりと先生に見ていただくことができます。当会は学年・大学、経験・未経験問わず入会することができ、近年では留学生も多数所属しています。そのため、日本文化を学びたい留学生や留学生と交流を深めたい学生にもオススメです！ 普段のお稽古以外にも、早稲田祭や大きな花展など、さまざまなイベントで作品を展示しています。さらには定期的にお食事会を開催し、会員同士の親睦を深める機会も用意しています。随時体験・見学を受け付けているので興味のある方はぜひ当会のメールアドレス（ikeken.waseda@gmail.com）や、X（@ikeken_waseda）、Instagram（@ikeken_waseda）のDMにご連絡ください！ 会員一同お待ちしています。,毎週火曜日/17時から20時/学生会館茶室106,20人,1956年,5人,学問,日本文化
早稲田大学筝曲研究会,箏曲研究会は、創立から60年を超える伝統ある生田流の箏サークルです。本サークルでは、古典箏曲から現代曲までいろいろな曲に取り組むことができます。経験者はもちろん、初心者も大歓迎です。また、留学生や2年生以上の学生、他大学の学生も積極的に受け入れています。兼サーもOKです。普段の活動は、週に1回のお稽古もしくは練習会がメインになります。お稽古では、プロの先生から丁寧なご指導を受けることができます。お稽古のない週には練習会を行います。先輩後輩問わず、みんなで仲良く和気あいあいと練習に励んでいます。みんなで練習に励むことで、初心者の人もすぐに上達することができます。演奏会を年に1回催す他、夏には合宿に行ったり早稲田祭で演奏したりと行事も盛り沢山です。また、本サークルは「早稲田大学古典芸能連盟」並びに「関東学生三曲連盟」に加盟しており、早稲田大学や他大学のサークルとの交流も盛んです。これらの交流を通じて、古典芸能や和楽器に親しんでいる仲間に出会うことができます。お箏に少しでも興味がある皆さん！サークルであれば気軽にお箏を始めることができます。また、お箏は末長く続けていくことができる趣味でもあります。皆さんも、箏曲研究会で楽しい学生生活を送りましょう！皆さんからのご連絡、お待ちしています。（メール：souken.w@gmail.com）,毎週金曜日/15時〜19時/学生会館,28人,1956年,3人,学問,日本文化
早稲田寄席演芸研究会,われわれ早稲田寄席演芸研究会は、漫才・コントなどによるお笑いライブの開催を主な活動としております。定期ライブは大学周辺の会場にて年に4〜5回、2日間開催しています。他のお笑いサークルとの合同ライブを開催することもあります。ライブで披露するネタは全てサークル員の自作であり、ネタ作りの難しさを痛感しながらも、見に来ていただいたお客さまにたくさん笑っていただけるように日々努力しております。ライブ以外にも、夏季休暇中は日本各地の病院を複数訪問し、ボランティアでお笑い公演を行うという活動も実施しております。11月に開催される早稲田祭では、1教室をお借りしましてサークル員が入れ替わり立ち替わりで途切れることなくネタを披露する「7時間ぶっ通しライブ」を行っております。,毎週火曜日・金曜日/16時半/学生会館,30人,1960年,0人,学問,日本文化
いじけっ子マンガ集団,"●概要
　一次創作系マンガサークル、通称「いじまん」です！
　マンガだけでなく小説やイラスト、アニメ、ゲームが好きな方、また創作経験がない方も大歓迎です！
　ぜひ一度、学生会館Ｅ-827の部室に遊びに来てみてください！

●主な活動
　①: 年２回、部誌「ソランジュ」の制作、発行
　　 →春と秋に１回ずつ発行します！その他、時期未定の「突発誌」も年２回程度あります。
　②: 夏・冬コミ、COMITIA、早稲田祭への出展・ソランジュ頒布
　　 →制作したソランジュを各同人誌即売会で頒布します！他大学との交流もあったり……？
　③: 夏・冬合宿
　　 →年２回合宿があります！基本的に２泊３日です！
　その他イベントも盛り沢山！
●団費
　年会費5000円＋入会金1000円（１年生のみ）
　→部誌発行のため少々お高めです……ごめんなさい！",活動日・時間は不定/学生会館E-827（部室）,75人,1978年,2人,学問,日本文化
少女マンガ研究会,少女漫画を始めとして、漫画・アニメ・2.5次元ミュージカルなど、さまざまなものを愛好しています。定期活動はなく、平常時はおのおのが好きな時間に部室に集まり親交を深めています。部室には漫画・テレビ・パソコンがそろっており、空きコマの憩いの場になっています。年中行事としては、新歓・早慶戦観戦・前期終了飲み・後期終了飲み・早稲田祭企画展示・クリスマスコンパ・会誌発行などを行っています。発行した会誌は夏冬のコミックマーケットなどで販売しています。イベントは全て任意参加なので、兼サーも大歓迎です！会誌への寄稿も初心者大歓迎です！2年生以上の方の入会や新歓期以降の入会も承っておりますので、興味のある方はお気軽にご連絡ください！,不定期/学生会館E531,59人,1981年,3人,学問,日本文化
"早稲田大学宝塚歌劇を愛する会 (早宝会)
",年に3回、雑誌『夢の花束』を企画から制作まで全て行っています。夏には本場宝塚大劇場へ合宿に行きます。もともとファンだった方はもちろん、一度も見たことのない方、男性の方も気軽に遊びに来てください！,不定期/学生会館・日比谷,35人,1982年,0人,学問,日本文化
津軽三味線愛好会　三津巴,「津軽三味線の楽しさを伝える」ことをモットーに日々活動している、全国でも珍しい津軽三味線のみでの合奏を行うサークルです。メンバーのほとんどが大学から三味線を始めていますが、部室で好きな時に自主練習ができるので各自のペースで進めることが出来ます。技術面は先輩や、全国大会入賞経験もあるOB.OGから教えて頂き、後輩から質問もしやすい雰囲気です！いつも一緒に練習をしているためサークル員同士の仲もとても良く、インカレサークルなので様々な大学の人がいます！大会では数々の賞を頂き、青森県弘前市にて毎年開催されている津軽三味線世界大会においては、2016年から2019年まで、団体A部門にて4年連続で優勝を達成しました。経歴だけ見ると、練習がキツいのかなと思うかもしれませんが、普段はゆるーく楽しく皆で津軽三味線を弾いています。早稲田祭を始めとした大学内のイベントだけでなく、デイサービスなどの福祉施設や、地域のお祭り、企業様のイベントへの出演、更には年に数度海外での演奏依頼も受けて遠征も行うなど、国内外を問わず精力的に活動をしております。三津巴は、津軽三味線を「みんなで楽しむ」という心さえあれば、どなたでも歓迎いたします。YouTubeにて動画も公開しているので、そちらもぜひチェックしてみてください。きっとこの楽器の魅力のとりこになるはずです。,毎週金曜日/17時半～19時半/近隣の施設,58人,2000年,2人,学問,日本文化
琵琶サークル　琵沙門,日本随一の学生琵琶サークルです。力強い音色が特徴の鶴田流薩摩琵琶を扱っています。プロの先生の指導の下、自分のペースで楽しく琵琶を弾けます。メンバー全員が大学から始めた初心者なので安心です。『祇園精舎』、『本能寺』、『敦盛』、『那須与一』などの日本の歴史を題材とした古典曲はもちろん、現代曲や合奏、創作曲などさまざまなジャンルに挑戦できます。通常の活動の他にも、3・6・11月に年3回の演奏会を開き、古典芸能連盟の合同演奏会「和楽」や図書館コンサートにも出演しています。さらに、夏には河口湖などに合宿へ出かけます。冷蔵庫、電子レンジなどの生活設備を完備した快適な部室もあります！ しかも楽器購入は不要！ ゆったりサークル生活を送りたい方、和楽器、邦楽に興味のある方、とにかく音楽が好きな方... 学年、学校を問わず誰でも大歓迎です！,毎週火曜日/4-6限/学生会館1階和室,35人,2000年,2人,学問,日本文化
早稲田大学ドラえもん研究会,普段はドラえもんや他の藤子作品の漫画やアニメを鑑賞しています。4〜5月は新入生歓迎会を行い、ここではドラえもんの映画を見ることができます。6月は川崎市にある藤子・Ｆ・不二雄ミュージアムを訪問します。夏休み中は夏合宿に行きます。これまでの夏合宿ではさまざまな所に行きました。ドラえもんの原作者藤子・Ｆ・不二雄先生生誕の地・富山県やドラえもんわくわくスカイパークがある北海道、ドラえもんのスタンプラリーをやっていた箱根などドラえもんにまつわる場所から、愛知県などのようにドラえもんとは関係がない場所までさまざまな所に行きました。また、ドラえもんの誕生日である9月3日には、ドラえもんの誕生日をお祝いします。ここ数年はその日に藤子・Ｆ・不二雄ミュージアムを訪問しています。夏休みが終わると、11月初旬に行われる早稲田祭に向けての準備が始まります。例年、早稲田祭では「ドラえもん検定」を開催し、来場者の皆さまにドラえもんに関するクイズを解いてもらっています。早稲田祭が終わった後は普段の活動に戻ります。12月には同窓会が開かれ、卒業生の方々とも触れ合うことができます。そしてクリスマス前後には藤子・Ｆ・不二雄ミュージアムを訪問します。春休みに入ってからは毎年3月公開の新作映画の鑑賞に行きます。ドラえもん好きな方、ぜひともお待ちしております!,毎週曜日不定期/18時15分〜/学生会館,25人,2005年,0人,学問,日本文化
わかものきもの会,わかものきもの会では、月に1?2回、学生会館和室にて着物や浴衣の着付け練習を行っています！ 他にも着物を着て浅草や鎌倉、川越などに散策に行ったり、着物関連のイベントに参加したりなど、まったり緩く活動しています！ 初めて着物を着る方でも2・3回練習すれば簡単に着られるようになるので、とても楽しいですよ♪ 男性や留学生の方ももちろん大歓迎です！ 活動内容としては、4月：新歓で着物着付け体験とお食事会、5月頃：ICCジャパニーズカルチャーイベントに参加し留学生に浴衣の着付けを体験してもらう、6月頃：アジサイが見頃の鎌倉へ散策、8月：浴衣で納涼会や花火大会、9月：京都や日光、秩父などへの合宿、プロの先生に着付けを習う会、川越の風鈴イベント、11月：早稲田祭で来場者に着物の着付けを体験してもらう…などなどです！,曜日指定無し/16:30〜/学生会館和室,60人,2008年,5人,学問,日本文化
チーム茶道,大学院の文化系サークルでは、早稲田大学初の茶道サークルとして、七カ国以上の留学生たちと共に、日々茶道の稽古に励んでいます。チーム茶道は、学研都市にある三大学の日本人学生と留学生たちが国籍・年齢・大学に関係なく一つのチームとして活動しています。毎年「留学生による男茶会」という大きな茶会を開催し、北九州の名物となっています。最近では海外遠征も行いました。日本伝統文化を通じ、国を超えて人と人がつながることができます。,毎週水〜金曜日/11時〜16時/学研都市留学生支援ネットワーク FORSNET事務所内,30人,2008年,25人,学問,日本文化
ポケモンだいすきクラブ早稲田支部,早稲田大学に一つしかないポケモンの公認サークルです！毎週ある通常活動ではポケモンのゲームやカードをするのはもちろん、ポケモンに関するさまざまなことを行います。毎月月末にはポケモンのゲームを使ってサークル全員で大会を開きます。他大のポケモンサークルとの交流会もあるのでポケモン好きの友達がたくさんできます！ポケモンに関することだけではなく食事会やカラオケ大会、バーベキューなどのイベントや夏休みと春休みには合宿などもあります。今年はサークル員がゲームもカードも国内予選を勝ち進み、世界大会へ行くことができました！「ポケモンをがっつりやりたい！」という人も「ポケモンが単純に好き」という人もいる楽しいサークルです！興味がある人はぜひご連絡ください！,毎週水曜日/16時半〜/学生会館,155人,2010年,0人,学問,日本文化
"早稲田大学装束研究会
",浴衣や着物を着付けられる人は少なくありませんが、狩衣や衣冠を着付けられるという人はなかなかいないのではないでしょうか。狩衣とは、鷹狩や蹴鞠などの際に着る、比較的アクティブな服装で、衣冠とは参内時に着る装束のなかでは簡略化された服装になります。私たち装束研究会は、普段の生活では、なかなか触れることのない平安装束を実際に着せたり、着たりすることの出来るサークルです。基本の結び方から始めるので、事前の知識は一切必要なく、練習をすれば誰でも着装ができるようになります。装束はサークルで所有しているものを使うので、個人で用意することはありません。主な活動内容は着装の練習で、早稲田祭ではお客様に着装をする機会もあります。私たちと一緒に、雅な世界を楽しみましょう!,週1回・不定期/(平日の場合)18時から/学生会館和室,25人,2015年,0人,学問,日本文化
早稲田大学ガンダム研究会,ガンダムが大好きな人も、ちょっと知ってるだけの人も、ゲームしかやってない人も、みんな一緒に“ガンダム”しよう！,なし,35人,なし,0人,学問,日本文化
古寺仏研究会,"2022年から、東京やその近郊での寺社巡りを再開しました。（2022年の行先は鎌倉や護国寺など。）また、部室やオンラインを活用して部員による発表（テーマは寺社や仏像、歴史など）や、クイズ大会も行っています。
私たちは、昨年50周年を迎えたサークルに新たな歴史を刻んでくれる方を待っています。学年や学部を問わず、少しでも興味を持たれた方は大歓迎です！ぜひお気軽にメールやInstagramでお問い合わせ下さい！


We enjoy learning about Japanese culture through visiting temples and shrines and quiz competitions!

In 2022, we have resumed the temple and shrine tours in Tokyo and its suburbs. (Destinations in 2022 include Kamakura and Gokokuji Temple.)
We also use the club room and online for presentations by club members (themes include temples, shrines, Buddhist statues, history, etc.) and quiz competitions.
We are waiting for someone who is willing to add new history to our circle, which celebrated its 50th anniversary last year. Regardless of your grade or department, we welcome anyone with even the slightest interest!
By all means, feel free to contact us via email or Instagram!",月に一回/ 関東圏の寺社 or 部室（今後、活動頻度が増加する可能性あり。）,26人,2022年,12人,学問,日本文化
国際問題研究会,"今年の研究テーマは「ロシアのウクライナ侵略、イスラエルのガザ侵攻、緊迫する東アジア――米−中・ロが激突する戦乱の世界を問う」です。

　ロシアのウクライナ侵略から2年を経た世界はいま、米中の対立の深まりと絡み合いながら、ますます激動しています。昨年10月からイスラエルのガザ侵攻がはじまり、東アジアでは台湾・朝鮮半島を焦点にして核戦争の危機が一気に高まっています。

　戦争や分断、貧困、圧政に多くの民衆が苦しんでいる現代世界と向き合うことが今ほど大切な時はありません。吹き荒れるナショナリズムに抗して、これらの問題をいかに解決するのか、一緒に研究しましょう。

　普段の活動は週一回の部会です。新聞やニュースを題材に最新の国際問題を共同で研究します。研究の成果は、早稲田祭で展示発表します。共同研究をつうじて、自分の世界観がつくれることが、国問研の醍醐味です。前提知識は不要です。興味のある方はまずは公式ラインに登録してください。",週1回/学生会館,21人,1947年,0人,学問,学問
戦争・貧困・環境を考える会,"　私たちは、いま世界と日本で起きている問題をとりあげ、討論をしながらほりさげてゆくサークルです。そのことをつうじて、現代世界の危機を深く洞察する力を養い、しっかりとした自分自身の社会観をつくることをめざしています。当会にはサークルでの共同研究ならではのやりがい、おもしろさがあります。フィールドワークや早稲田祭展示企画の参加も予定しています。

〔本2024年度は次のような研究をします↓〕
　ロシアによるウクライナ軍事侵略という世紀の蛮行から２年あまり――イスラエルによるパレスチナ民衆虐殺につづき、ここ東アジアでも、アメリカ・日本と中国とが台湾をめぐる軍事的対立を激化させています。日本の岸田政権はいまや「専守防衛」を完全になげして、米国とともに先制攻撃ができる「戦争する国」づくりをおし進めています。

　私たちは今年度、〈戦争と大軍拡の時代〉に突入した現代世界を超えてゆく道を探求します。政府・自民党がもくろむ改憲の狙いとは？　空前の大軍拡の実態は？　大学を動員した軍事研究の実態とは？

　〈プーチンの戦争〉とは？　不屈に抵抗するウクライナ民衆をつき動かすものは？　自称「社会主義」ソ連邦の崩壊とは何だったのか？――こうした問題を〈新たなファシズムに抗して〉を年間テーマにして研究していきます。

　随時説明会を開催しますので、ぜひ一度きいてみてください！　ご連絡お待ちしています。",週1～2回/学生会館E530部室にて,21人,1956年,0人,学問,学問
早稲田社会環境工学研究会,早稲田社会環境工学研究会は社会環境工学・土木工学の関心を深めることを目的としたサークルです。橋梁（きょうりょう）やトンネル、河川や道路など、都市や国土を支える社会基盤を成り立たせる学問・社会環境工学を学ぶ学生によって構成されています。土木に関する情報交換のほか、年に1、2回の建設工事の現場見学会、理工展への出展を主な活動としています。現場見学会では首都圏の最新建設プロジェクトの現場を見学させていただくことで、土木のスケールの大きい仕事を体感できます。また、施工の様子など実務に関わる貴重なお話を伺うチャンスでもあります。理工展では活動報告や個人研究の成果をポスターや模型の製作・展示を通じて発表します。その他、会員同士で街歩きや旅行を企画することも。活動拠点が西早稲田キャンパス内である点もメリットの一つです。1974年創立、河川ゼミを前身とする歴史あるサークルです。土木が好きなあなた、これから好きになるあなたの入会をお待ちしています。,不定期/西早稲田キャンパス,58人,1974年,0人,学問,学問
資格ゲッターズ,当サークルでは、TOEICや簿記などの就職活動に生かすことのできる資格から、宅地建物取引主任者やフィナンシャル・プランニング技能士などの国家資格、忍者検定やお好み焼き検定といったネタ資格まで、さまざまな資格取得を目指しています。インカレサークルであり、現在約150名の会員が在籍しています。通常の活動は、毎週火曜日と木曜日の3・4・5限に学生会館の部室を開放し、資格取得に向けた勉強、情報交換を行っております。週末には団体受験を実施したり、月に1回の定例会を行ったりしています。また、100キロハイクや早稲田祭などのイベントにも参加しています。夏と春の長期休暇期間には、合宿を行い、参加者全員で検定に挑戦します。2016年の夏合宿ではバーベキューインストラクターの資格を取得し、2017年の冬合宿ではスキー・スノボ検定に挑戦しました。仲間同士、励まし合い、競い合いながら楽しく活動しています。,毎週火・木曜日/13時〜18時/学生会館,150人,1999年,0人,学問,学問
教育・教職サークルT-team(T-team),早稲田大学公認サークルの中で唯一教育をテーマにした、教育・教職サークルT-teamです。一見真面目そうですが、実際はフレンドリーな雰囲気の中、さまざまな学部の仲間が共に活動しています！ 活動日は火・木の6・7限の週2回です。活動は、実際に授業をして良い点や改善点を議論する模擬授業が中心です。履修登録や教職カルテなど、教職をとる上で必須の手続きをみんなで協力できるようなイベントも開催しています。遠足や旅行も実施していて、教職を目指す仲間ができるサークルです。授業の後にトランプなどのゲームで盛り上がることも…！ 具体的な活動日や活動内容はX(旧Twitter)・Instagramで発信しています。サークル員一同、新入生の皆さんをお待ちしております！,毎週火曜日・木曜日/18:55～/学生会館,36人,2007年,0人,学問,学問
臨床心理学研究会,臨床心理学の勉強会や、心理に関わる現場でのボランティア活動などを行います。主な活動内容として、更生保護施設の更新会で行われるSST（社会技能訓練）の補助や板書係・お茶会での参加者さまとのおしゃべり・施設の方やSSTの先生との振り返りを行います。何か特別な技能が必要なことを行うわけではないので、一種の社会見学として参加するような心持ちでも大丈夫です。また、臨床心理学系大学院入試への勉強や臨床心理学のキーワードのまとめ、臨床心理学系大学院入試の過去問対策などの勉強会を行います。参加者の都合に合わせて所沢キャンパスなどで行います。また、ひきこもりのボランティアとして「KHJ西東京「萌の会」集いの場コスモス」というひきこもりの自助グループ月例会への参加や学校学生ボランティアなども行っています。,毎月第1・第3日曜日/8:30〜11:00頃/高田馬場駅から徒歩15分,30人,2009年,0人,学問,学問
理工系学術サークルWathematica,"Wathematica（ワセマティカ）は主に西早稲田キャンパスで活動している理工系の学術サークルです！数学、物理、情報などの学問に興味を持つ学生たちが集まり自主ゼミ活動を行っています。
Wathematicaでは自分たちの学びたいテーマを自由に選び、ゼミの形式で掘り下げていくことができます。大学の勉強は1人では挫折してしまうこともありますが、仲間と協力して学ぶことでモチベーションを維持しつつ、理解を深めることができます。また、交流会などの定期的なイベントや、毎年開催される発表会や合宿などを通じてメンバーとの親睦も深められます。
多くのメンバーが理工の学生ですが、幅広い学部のメンバーが年々増えてきています。文系学部の方でも理工系の学問に興味がある方は大歓迎です！
Wathematicaは学問への情熱を共有し、自ら考え、深めるための場所です。興味のある方はぜひ私たちの活動に参加してみてください。一緒に知識を深め、新たな発見と交流を楽しみましょう。",平日（不定期）/空きコマや５・６限/61号館ラーニングコモンズ等,126人,2021年,0人,学問,学問
鉄道研究会(WRC),早稲田大学鉄道研究会(WRC)は大学鉄研としては日本最大級の規模を誇るサークルです。月1回の例会をはじめ、夏合宿や早稲田祭への出展など年間を通じてさまざまなイベントが催され、鉄道を趣味とする者が集まり交流を深めています。ライト層からコアな人まで個性豊かなメンバーで構成され、各会員は思い思いの方法で鉄道に関する知見を深めています。ひと口に「鉄道趣味」と言ってもその対象は写真、模型、車両研究など広範にわたっています。そのため個人の興味関心にあわせて活動を行うことができる「分科会」が設置され、そこでは特定の分野についてより深く掘り下げた活動が行われています。当会の主なイベントとしては、新歓期には花見や模型運転会、貸し切り列車の運行、合宿を開催し新入生を大いに歓迎します。夏合宿では現地集合・現地解散で各自自由なルートで旅をしており、車両基地見学会を必ず行っています。早稲田祭には毎年出展し巨大鉄道模型レイアウトや鉄道写真・部品など各分科会の英知を結集した展示を行っています。また、会誌「Switcher」を発行し、外部に向けて各会員の研究の成果を発表しています。その他にも雑誌やテレビ局などのメディアの取材や鉄道に関連したお仕事の依頼もあり、WRCだけでしか体験できないことも数多くあるのが当会の特徴です。少しでも興味のある方はぜひ、学生会館の部室までお気軽にお越しください！,毎週月〜土曜日/学生会館 部室E516 (任意参加),76人,1952年,0人,学問,趣味
学食研究会,1999年に活動を開始した日本最古の学食研究サークル。サークル独自の調査書を使用した学食の評価をおこない、半年に一度学食ランキングを作成。そのランキングは多くの注目を集め、過去にはめざましテレビ、ワールドビジネスサテライト、週刊朝日、J-WAVEなど多くのメディアへの協力経験があります！ 1年を通して早稲田に限らずいろんな大学の学食を回ります。さらにいえば、半年に一度、8・9月と3月にそれぞれ合宿をおこないます。普段は行けないような遠くの学食へと足を運び、普段の学食研究会とはまた違った楽しみを皆で味わいます。週に2・3回程度、メンバー全員が気軽にマイペースに普段の活動をおこなっています。普段の学食への活動に3回来ることが入会条件の一つになっているのでまずは気軽に遊びに来てくださいねー！,不定期/都内の学食,70人,1999年,0人,学問,趣味
特撮評議会,当会は特撮作品の「見る専」として､特撮技術が用いられた映像作品を幅広く視聴するサークルです｡当会の目的は､一つ目に映像視聴を周囲と共感しつつ楽しむこと､二つ目に日本の伝統技術としての特撮の価値を再発見すること､三つ目にその作品性・表象性を分析的に評価し､作品から新たな価値を見出だすことにあります｡その成果として､さまざまなテーマに基づいた評論集を自費出版し､毎年2回､コミックマーケットで頒布しております｡当会の活動は通常活動と特別活動に分かれており､通常活動ではレギュラーとして3〜4クールの作品を視聴し､特別活動では随時､特撮に関連したさまざまなイベントに参加します｡また､春期には大々的なツアー企画を､夏期には合宿を行っており､趣味面の充足や知識の強化だけではなく､会員同士の交流も盛んなサークルです｡活動によっては特撮に限らずアニメや映画などの映像作品全般に触れることで、各人の視野を広げるとともにその審美眼を養っています。,毎週水曜日16時半〜・毎週土曜日13時〜/学生会館,25人,2011年,0人,学問,趣味
